phrase,count
"('do', 'you')",8281
"('of', 'the')",5125
"('the', 'following')",5009
"('any', 'of')",4968
"('heart', 'disease')",3320
"('disease', 'stroke')",3314
"('kidney', 'disease')",3314
"('what', 'is')",3313
"('you', 'have')",3312
"('have', 'any')",3312
"('following', 'conditions')",3312
"('conditions', 'diabetes')",3312
"('diabetes', 'hypertension')",3312
"('hypertension', 'high')",3312
"('high', 'cholesterol')",3312
"('cholesterol', 'heart')",3312
"('stroke', 'lung')",3312
"('lung', 'disease')",3312
"('disease', 'kidney')",3312
"('disease', 'liver')",3312
"('liver', 'disease')",3312
"('disease', 'thyroid')",3312
"('thyroid', 'problems')",3312
"('problems', 'cancer')",3312
"('how', 'many')",3312
"('is', 'your')",3312
"('id', 'ps')",2681
"('blood', 'pressure')",1688
"('will', 'be')",1668
"('if', 'needed')",1665
"('form', 'id')",1664
"('yes', 'no')",1663
"('family', 'history')",1662
"('marital', 'status')",1660
"('per', 'day')",1658
"('personal', 'history')",1658
"('take', 'any')",1657
"('diet', 'type')",1657
"('social', 'history')",1657
"('yes', 'please')",1657
"('many', 'years')",1657
"('alcohol', 'no')",1657
"('information', 'provided')",1657
"('needed', 'will')",1657
"('be', 'used')",1657
"('for', 'medical')",1657
"('patient', 'history')",1656
"('history', 'form')",1656
"('history', 'information')",1656
"('information', 'do')",1656
"('cancer', 'do')",1656
"('you', 'take')",1656
"('following', 'medicines')",1656
"('medicines', 'antihypertensives')",1656
"('antihypertensives', 'for')",1656
"('for', 'blood')",1656
"('pressure', 'anticholesterol')",1656
"('anticholesterol', 'for')",1656
"('for', 'lipids')",1656
"('lipids', 'diabetes')",1656
"('diabetes', 'medicines')",1656
"('medicines', 'antidepressive')",1656
"('antidepressive', 'anticoagulation')",1656
"('anticoagulation', 'antibiotics')",1656
"('antibiotics', 'antipsychotics')",1656
"('antipsychotics', 'antiallergics')",1656
"('antiallergics', 'cancer')",1656
"('cancer', 'medicines')",1656
"('medicines', 'other')",1656
"('other', 'medicines')",1656
"('medicines', 'please')",1656
"('please', 'select')",1656
"('select', 'your')",1656
"('your', 'diet')",1656
"('type', 'vegetarian')",1656
"('vegetarian', 'nonvegetarian')",1656
"('nonvegetarian', 'eggetarian')",1656
"('eggetarian', 'vegan')",1656
"('vegan', 'pescatarian')",1656
"('pescatarian', 'family')",1656
"('history', 'does')",1656
"('does', 'your')",1656
"('your', 'paternal')",1656
"('paternal', 'family')",1656
"('family', 'have')",1656
"('cancer', 'social')",1656
"('history', 'do')",1656
"('you', 'smoke')",1656
"('smoke', 'no')",1656
"('no', 'yes')",1656
"('please', 'fill')",1656
"('fill', 'below')",1656
"('below', 'if')",1656
"('if', 'marked')",1656
"('marked', 'yes')",1656
"('yes', 'how')",1656
"('many', 'per')",1656
"('day', 'for')",1656
"('for', 'how')",1656
"('years', 'do')",1656
"('you', 'consume')",1656
"('consume', 'alcohol')",1656
"('no', 'occassionaly')",1656
"('occassionaly', 'aggressively')",1656
"('aggressively', 'do')",1656
"('have', 'family')",1656
"('family', 'support')",1656
"('support', 'yes')",1656
"('no', 'please')",1656
"('please', 'add')",1656
"('add', 'relevant')",1656
"('relevant', 'details')",1656
"('details', 'for')",1656
"('for', 'above')",1656
"('above', 'question')",1656
"('your', 'occupation')",1656
"('your', 'marital')",1656
"('status', 'single')",1656
"('single', 'married')",1656
"('married', 'divorcedseperated')",1656
"('divorcedseperated', 'widowwidower')",1656
"('widowwidower', 'authorisation')",1656
"('authorisation', 'please')",1656
"('please', 'sign')",1656
"('sign', 'below')",1656
"('below', 'to')",1656
"('to', 'authorise')",1656
"('authorise', 'that')",1656
"('that', 'above')",1656
"('above', 'information')",1656
"('provided', 'by')",1656
"('by', 'you')",1656
"('you', 'is')",1656
"('is', 'accurate')",1656
"('accurate', 'and')",1656
"('and', 'if')",1656
"('used', 'for')",1656
"('medical', 'purposes')",1656
"('question', 'what')",1655
"('occupation', 'what')",1655
"('female', 'personal')",845
"('male', 'personal')",711
"('ps', 'name')",677
"('age', 'gender')",662
"('on', 'the')",652
"('opd', 'note')",531
"('apply', 'on')",409
"('gender', 'female')",395
"('days', 'tab')",394
"('female', 'date')",388
"('to', 'apply')",369
"('days', 'to')",355
"('tab', 'after')",319
"('in', 'the')",316
"('male', 'date')",307
"('note', 'id')",281
"('the', 'face')",280
"('type', 'opd')",270
"('gender', 'male')",268
"('date', 'feb')",254
"('frequency', 'duration')",241
"('duration', 'weeks')",238
"('mg', 'days')",235
"('x', 'ray')",233
"('medicine', 'dosage')",232
"('advice', 'medicine')",229
"('note', 'date')",228
"('next', 'visit')",226
"('after', 'dinner')",224
"('visit', 'date')",221
"('visit', 'inclinic')",221
"('date', 'jan')",217
"('tenderness', 'over')",196
"('dosage', 'duration')",193
"('date', 'mar')",192
"('at', 'night')",183
"('after', 'breakfast')",179
"('the', 'morning')",171
"('volitra', 'gel')",168
"('inclinic', 'location')",166
"('dinner', 'daily')",157
"('feb', 'pm')",155
"('location', 'oss')",151
"('prescription', 'id')",148
"('physio', 'referral')",147
"('oss', 'medspire')",147
"('medspire', 'clinic')",147
"('pkg', 'taken')",145
"('to', 'be')",143
"('duration', 'instructions')",142
"('date', 'dec')",140
"('as', 'needed')",137
"('prescribed', 'item')",137
"('item', 'name')",137
"('prescription', 'prescribed')",136
"('name', 'frequency')",136
"('female', 'type')",135
"('follow', 'up')",133
"('once', 'a')",132
"('dues', 'remaining')",132
"('a', 'day')",131
"('jan', 'pm')",131
"('am', 'visit')",130
"('male', 'type')",129
"('layer', 'of')",129
"('a', 'layer')",128
"('date', 'nov')",128
"('over', 'a')",127
"('and', 'then')",126
"('am', 'complaints')",123
